"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Lilligant","Hidden Power (Flying)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Poison)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Electric)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Ground)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Psychic)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Rock)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Ice)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Bug)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Dragon)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Ghost)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Dark)","Hyper Beam","10.283","226.9","22.29","2550"
"Lilligant","Hidden Power (Steel)","Hyper Beam","10.283","226.9","22.29","2550"
"Bellossom","Magical Leaf","Petal Blizzard","10.282","281.1","23.51","2281"
"Bruxish","Bite","Crunch","10.282","210.1","21.86","2389"
"Cobalion","Double Kick","Stone Edge","10.282","390","25.52","3022"
"Shadow Starly","Sand Attack","Fly","10.282","58.6","15.89","719"
"Staravia","Quick Attack","Return","10.282","125.2","19.21","1299"
"Virizion","Double Kick","Stone Edge","10.282","390","25.52","3022"
"Quaquaval","Wing Attack","Aqua Jet","10.281","323.7","24.35","3339"
"Grotle","Razor Leaf","Solar Beam","10.28","220.9","22.13","1890"
"Manectric","Charge Beam","Flame Burst","10.28","189.4","21.3","2340"
"Mew","Charge Beam","Rock Slide","10.279","385.2","25.43","3265"
"Boldore","Smack Down","Solar Beam","10.278","210.8","21.87","2029"
"Cryogonal","Frost Breath","Aurora Beam","10.277","340.6","24.66","2798"
"Bellsprout","Acid","Sludge Bomb","10.276","82.4","17.29","1033"
"Huntail","Bite","Ice Beam","10.274","222.7","22.17","2340"
"Shadow Natu","Peck","Psyshock","10.274","83.4","17.34","1102"
"Armored Mewtwo","Confusion","Rock Slide","10.272","478.3","26.83","3187"
"Gastly","Lick","Dark Pulse","10.272","68.4","16.5","1229"
"Hawlucha","Low Kick","X-Scissor","10.272","240.7","22.6","2410"
"Raichu","Spark","Trailblaze","10.272","201.2","21.61","2182"
"Shadow Gliscor","Fury Cutter","Night Slash","10.272","276","23.39","2692"
"Mew","Pound","Gyro Ball","10.271","384.9","25.41","3265"
"Butterfree","Confusion","Bug Buzz","10.27","184.2","21.13","1827"
"Shadow Porygon","Charge Beam","Hyper Beam","10.27","159.6","20.39","1720"
"Kricketune","Fury Cutter","X-Scissor","10.269","163.1","20.5","1653"
"Shadow Dragonair","Iron Tail","Aqua Tail","10.268","152.3","20.15","1780"
"Shadow Dragonair","Iron Tail","Body Slam","10.268","152.3","20.15","1780"
"Toedscruel","Mud Slap","Seed Bomb","10.268","327.2","24.4","2422"
"Zygarde (50% Forme)","Zen Headbutt","Hyper Beam","10.268","447","26.37","3410"
"Poliwrath","Rock Smash","Power-Up Punch","10.267","314.8","24.16","2586"
"Sandslash","Mud Shot","Return","10.267","265.3","23.15","2374"
"Shadow Ninetales","Ember","Heat Wave","10.267","233.7","22.43","2279"
"Amoonguss","Astonish","Grass Knot","10.266","289.6","23.66","2140"
"Nidoqueen","Poison Jab","Stone Edge","10.266","297.3","23.82","2488"
"Mew","Waterfall","Stone Edge","10.264","384.6","25.39","3265"
"Simipour","Bite","Crunch","10.263","206.6","21.74","2350"
"Simisage","Bite","Crunch","10.263","206.6","21.74","2350"
"Simisear","Bite","Crunch","10.263","206.6","21.74","2350"
"Swanna","Water Gun","Bubble Beam","10.263","205.2","21.7","2088"
"Ferrothorn","Bullet Seed","Power Whip","10.262","328.8","24.41","2321"
"Florges","Tackle","Petal Blizzard","10.262","370.7","25.16","3234"
"Morgrem","Bite","Play Rough","10.262","148.3","20.01","1442"
"Shadow Electrike","Spark","Discharge","10.262","74.5","16.85","965"
"Komala","Rollout","Payback","10.261","228.1","22.28","2582"
"Rapidash","Ember","Heat Wave","10.261","224.4","22.19","2461"
"Arbok","Acid","Return","10.26","203.3","21.65","1921"
"Celesteela","Smack Down","Body Slam","10.259","356.5","24.91","3102"
"Dartrix","Magical Leaf","Brave Bird","10.259","220.4","22.09","1725"
"Zygarde (50% Forme)","Zen Headbutt","Bulldoze","10.259","446.7","26.35","3410"
"Gourgeist - Average Size","Hex","Poltergeist","10.258","288.9","23.63","2390"
"Kricketune","Struggle Bug","Bug Buzz","10.258","162.9","20.48","1653"
"Cofagrigus","Zen Headbutt","Shadow Ball","10.257","297.8","23.81","2273"
"Florges","Razor Leaf","Disarming Voice","10.257","370.5","25.15","3234"
"Machoke","Low Kick","Cross Chop","10.257","204.3","21.67","2031"
"Mew","Struggle Bug","Ice Beam","10.257","384.4","25.38","3265"
"Rotom","Thunder Shock","Thunder","10.257","188.2","21.23","2031"
"Shadow Machop","Low Kick","Cross Chop","10.257","107.6","18.46","1278"
"Shadow Weezing","Infestation","Dark Pulse","10.256","223.8","22.17","2293"
"Hitmonchan","Bullet Punch","Return","10.255","229.3","22.3","2332"
"Politoed","Bubble","Return","10.255","306.5","23.98","2449"
"Alolan Sandslash","Shadow Claw","Ice Punch","10.254","292.9","23.71","2432"
"Bellossom","Razor Leaf","Return","10.253","280.3","23.44","2281"
"Gastly","Lick","Night Shade","10.252","68.3","16.47","1229"
"Minior (Core)","Take Down","Ancient Power","10.252","176.6","20.89","2292"
"Shadow Lampent","Ember","Energy Ball","10.25","131","19.38","1708"
"Shadow Prinplup","Bubble","Bubble Beam","10.249","161.6","20.42","1701"
"Meganium","Magical Leaf","Petal Blizzard","10.247","316.3","24.15","2410"
"Mew","Poison Jab","Flash Cannon","10.247","384","25.35","3265"
"Ninetales","Feint Attack","Overheat","10.247","279.9","23.43","2279"
"Sunflora","Bullet Seed","Sludge Bomb","10.247","209.1","21.78","2141"
"Tranquill","Air Slash","Sky Attack","10.246","150.1","20.04","1442"
"Lairon","Metal Claw","Heavy Slam","10.244","257.4","22.94","2056"
"Camerupt","Rock Smash","Earthquake","10.242","200.7","21.55","2193"
"Mew","Charge Beam","Ice Beam","10.241","383.8","25.34","3265"
"Poipole","Poison Jab","Sludge Bomb","10.241","191.4","21.3","1640"
"Trumbeak","Rock Smash","Sky Attack","10.241","131.6","19.39","1478"
"Shadow Dusknoir","Astonish","Dark Pulse","10.24","227.8","22.24","2388"
"Floragato","Charm","Grass Knot","10.239","173.8","20.78","1679"
"Aurorus","Frost Breath","Ancient Power","10.238","354.1","24.83","2802"
"Calyrex - Ice Rider","Take Down","Energy Ball","10.236","407.9","25.72","4235"
"Qwilfish","Water Gun","Sludge Wave","10.236","193.5","21.34","2051"
"Mew","Struggle Bug","Dragon Claw","10.235","383.6","25.32","3265"
"Mew","Poison Jab","Gyro Ball","10.235","383.5","25.32","3265"
"Hitmonchan","Rock Smash","Brick Break","10.233","228.8","22.25","2332"
"Shadow Blitzle","Spark","Thunderbolt","10.233","66.9","16.36","882"
"Bouffalant","Mud Shot","Stomp","10.232","323.1","24.26","2797"
"Rapidash","Low Kick","Flame Charge","10.231","223.7","22.12","2461"
"Toucannon","Rock Smash","Rock Blast","10.231","234.3","22.38","2689"
"Plusle","Spark","Grass Knot","10.23","173.8","20.77","1778"
"Shadow Golbat","Wing Attack","Air Cutter","10.23","191.3","21.27","1976"
"Dudunsparce","Bite","Rock Slide","10.229","331.5","24.4","2739"
"Feraligatr","Water Gun","Crunch","10.229","307","23.94","2857"
"Hisuian Qwilfish","Poison Jab","Aqua Tail","10.228","209.7","21.76","2136"
"Mightyena","Fire Fang","Return","10.227","195.1","21.37","1926"
"Stantler","Zen Headbutt","Stomp","10.227","199","21.48","2164"
"Fraxure","Iron Tail","Night Slash","10.226","176.3","20.84","2234"
"Mew","Pound","Energy Ball","10.226","383.2","25.3","3265"
"Shadow Trapinch","Mud Shot","Crunch","10.225","78.6","17.03","1274"
"Shadow Alolan Geodude","Volt Switch","Thunderbolt","10.224","117.3","18.82","1293"
"Lapras","Frost Breath","Hydro Pump","10.22","391.4","25.42","2641"
"Mew","Steel Wing","Bulldoze","10.217","382.9","25.28","3265"
"Mew","Rock Smash","Focus Blast","10.217","382.9","25.28","3265"
"Poliwrath","Mud Shot","Hydro Pump","10.217","313.2","24.04","2586"
"Shadow Drapion","Ice Fang","Aqua Tail","10.215","239.7","22.48","2453"
"Torterra","Bite","Stone Edge","10.215","332.4","24.4","2934"
"Bouffalant","Zen Headbutt","Stomp","10.214","322.6","24.21","2797"
"Zygarde (Complete Forme)","Bite","Hyper Beam","10.214","635.7","28.69","3722"
"Amoonguss","Feint Attack","Sludge Bomb","10.212","288.1","23.53","2140"
"Primeape","Karate Chop","Night Slash","10.212","193","21.29","2288"
"Hisuian Sneasel","Rock Smash","Close Combat","10.211","183.7","21.03","2051"
"Porygon2","Charge Beam","Solar Beam","10.211","294.3","23.66","2711"
"Hippowdon","Bite","Stone Edge","10.21","370.8","25.06","3085"
"Shadow Froslass","Hex","Crunch","10.209","182.2","20.98","2040"
"Shadow Porygon","Tackle","Zap Cannon","10.208","158.7","20.27","1720"
"Mew","Rock Smash","Blizzard","10.207","382.5","25.25","3265"
"Appletun","Bullet Seed","Dragon Pulse","10.206","293.1","23.63","2452"
"Fearow","Peck","Aerial Ace","10.206","186.6","21.1","1997"
"Hisuian Braviary","Zen Headbutt","Ominous Wind","10.206","276.7","23.29","2814"
"Oricorio (Baile Style)","Air Slash","Air Cutter","10.206","222.1","22.04","2333"
"Oricorio (Pa'u Style)","Air Slash","Air Cutter","10.206","222.1","22.04","2333"
"Oricorio (Pom-Pom Style)","Air Slash","Air Cutter","10.206","222.1","22.04","2333"
"Oricorio (Sensu Style)","Air Slash","Air Cutter","10.206","222.1","22.04","2333"
"Abra","Charge Beam","Return","10.204","74.2","16.76","1342"
"Mudbray","Mud Slap","Bulldoze","10.204","180.1","20.91","1892"
"Mudsdale","Rock Smash","Body Slam","10.204","321.2","24.17","3046"
"Shadow Lampent","Ember","Heat Wave","10.204","130.4","19.29","1708"
"Shadow Piloswine","Powder Snow","Stone Edge","10.204","216.7","21.9","2345"
"Staravia","Quick Attack","Brave Bird","10.204","124.3","19.06","1299"
"Emolga","Thunder Shock","Discharge","10.202","161.9","20.36","1633"
"Deoxys (Speed Forme)","Zen Headbutt","Swift","10.201","250.7","22.71","2879"
"Slaking","Yawn","Play Rough","10.201","383.1","25.25","4431"
"Tauros","Tackle","Horn Attack","10.201","274.7","23.24","2620"
"Mew","Charge Beam","Dragon Claw","10.2","382.2","25.24","3265"
"Seismitoad","Mud Shot","Muddy Water","10.2","289.6","23.55","2564"
"Swanna","Air Slash","Bubble Beam","10.2","204","21.57","2088"
"Togekiss","Hidden Power (Flying)","Ancient Power","10.2","349.8","24.68","3332"
"Sawsbuck","Take Down","Solar Beam","10.199","233.6","22.31","2416"
"Shadow Hypno","Confusion","Focus Blast","10.199","261.3","22.95","2090"
"Parasect","Fury Cutter","X-Scissor","10.198","193.7","21.29","1859"
"Galarian Rapidash","Low Kick","Megahorn","10.197","222.9","22.05","2461"
"Lurantis","Fury Cutter","Superpower","10.197","243.5","22.54","2398"
"Pelipper","Water Gun","Hurricane","10.197","227.4","22.16","2127"
"Gourgeist - Average Size","Hex","Seed Bomb","10.196","287.2","23.49","2390"
"Clefable","Pound","Moonblast","10.195","289.3","23.53","2437"
"Mew","Poison Jab","Energy Ball","10.195","382.1","25.22","3265"
"Jynx","Pound","Draining Kiss","10.194","209","21.69","2555"
"Kangaskhan","Mud Slap","Outrage","10.194","315.8","24.05","2586"
"Shadow Blitzle","Spark","Discharge","10.194","66.6","16.3","882"
"Hippowdon","Bite","Body Slam","10.191","370","25.02","3085"
"Ivysaur","Razor Leaf","Sludge Bomb","10.19","189.9","21.17","1699"
"Sylveon","Quick Attack","Psyshock","10.189","359.3","24.83","3069"
"Mew","Snarl","Gyro Ball","10.188","381.8","25.21","3265"
"Starmie","Hidden Power (Fire)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Fighting)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Flying)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Grass)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Poison)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Electric)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Ground)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Rock)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Ice)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Bug)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Dragon)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Ghost)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Dark)","Ice Beam","10.187","239.2","22.42","2584"
"Starmie","Hidden Power (Steel)","Ice Beam","10.187","239.2","22.42","2584"
"Drilbur","Mud Slap","Drill Run","10.184","120.1","18.87","1376"
"Raboot","Tackle","Flamethrower","10.183","176.1","20.77","1824"
"Shadow Staravia","Sand Attack","Aerial Ace","10.183","103.3","18.18","1299"
"Venomoth","Confusion","Psychic","10.183","208.8","21.67","2082"
"Gyarados","Waterfall","Twister","10.181","328","24.26","3391"
"Shadow Registeel","Metal Claw","Focus Blast","10.181","362.1","24.86","2447"
"Raticate","Bite","Return","10.18","175.2","20.73","1730"
"Shadow Beedrill","Infestation","Aerial Ace","10.179","151.9","20.01","1846"
"Masquerain","Air Slash","Silver Wind","10.178","217.9","21.89","2270"
"Golduck","Confusion","Bubble Beam","10.176","256.2","22.79","2450"
"Mew","Waterfall","Thunder","10.176","381.4","25.18","3265"
"Hisuian Samurott","Waterfall","Icy Wind","10.175","261.8","22.92","2802"
"Pyroar","Take Down","Flame Charge","10.175","249","22.63","2767"
"Galvantula","Fury Cutter","Cross Poison","10.174","188.8","21.12","2206"
"Jellicent","Hex","Surf","10.174","327","24.23","2338"
"Nidoqueen","Bite","Return","10.173","294.7","23.6","2488"
"Skeledirge","Bite","Crunch","10.173","336.5","24.4","3027"
"Shadow Solosis","Zen Headbutt","Thunder","10.172","82.4","17.16","1367"
"Floatzel","Water Gun","Swift","10.171","193.9","21.25","2443"
"Raichu","Volt Switch","Thunder","10.171","199.2","21.4","2182"
"Regice","Frost Breath","Return","10.171","468.8","26.5","3122"
"Shadow Boldore","Mud Slap","Bulldoze","10.17","173.8","20.68","2029"
"Mew","Frost Breath","Dark Pulse","10.169","381.1","25.16","3265"
"Turtonator","Incinerate","Flamethrower","10.169","275.9","23.21","2223"
"Darumaka","Fire Fang","Fire Punch","10.168","133.3","19.35","1442"
"Gourgeist - Average Size","Razor Leaf","Foul Play","10.168","286.4","23.42","2390"
"Beheeyem","Astonish","Dark Pulse","10.167","246.1","22.55","2753"
"Feraligatr","Shadow Claw","Crunch","10.166","305.1","23.79","2857"
"Muk","Poison Jab","Thunder Punch","10.165","327.1","24.21","2757"
"Emolga","Quick Attack","Thunderbolt","10.164","161.3","20.29","1633"
"Torkoal","Fire Spin","Overheat","10.164","287.5","23.44","2093"
"Meganium","Razor Leaf","Return","10.163","313.8","23.96","2410"
"Watchog","Low Kick","Return","10.163","184.6","20.98","1819"
"Falinks","Rock Smash","Megahorn","10.162","232.2","22.22","2357"
"Shadow Croagunk","Poison Sting","Sludge Bomb","10.162","79.7","17","952"
"Graveler","Mud Slap","Return","10.161","203.2","21.49","1897"
"Girafarig","Double Kick","Thunderbolt","10.16","195.1","21.27","2046"
"Machoke","Karate Chop","Brick Break","10.16","202.4","21.46","2031"
"Shadow Shinx","Spark","Thunderbolt","10.159","66.4","16.24","876"
"Kingdra","Dragon Breath","Octazooka","10.158","288.8","23.46","2641"
"Mew","Dragon Tail","Bulldoze","10.158","380.7","25.13","3265"
"Shadow Marowak","Mud Slap","Bone Club","10.158","200.7","21.42","1835"
"Morgrem","Sucker Punch","Play Rough","10.157","146.8","19.8","1442"
"Shadow Carvanha","Snarl","Poison Fang","10.157","45.4","14.77","1020"
"Camerupt","Rock Smash","Return","10.156","199","21.37","2193"
"Decidueye","Magical Leaf","Shadow Sneak","10.156","274.8","23.16","2775"
"Mega Pidgeot","Wing Attack","Feather Dance","10.155","281.2","23.3","3680"
"Dedenne","Tackle","Discharge","10.154","191.1","21.15","1841"
"Dracovish","Dragon Breath","Brine","10.154","312.9","23.92","2500"
"Charmeleon","Fire Fang","Fire Punch","10.152","164.9","20.38","1653"
"Kingdra","Waterfall","Octazooka","10.151","288.6","23.44","2641"
"Mew","Infestation","Dark Pulse","10.151","380.4","25.12","3265"
"Mew","Snarl","Flash Cannon","10.151","380.4","25.12","3265"
"Tangrowth","Vine Whip","Ancient Power","10.151","336.4","24.36","3030"
"Lunatone","Rock Throw","Moonblast","10.15","262.7","22.89","2327"
"Tranquill","Steel Wing","Sky Attack","10.15","148.7","19.86","1442"
"Wailord","Zen Headbutt","Return","10.15","260.1","22.84","2280"
"Nuzleaf","Feint Attack","Grass Knot","10.149","122.5","18.92","1227"
"Flygon","Mud Shot","Stone Edge","10.148","264.2","22.92","2661"
"Gogoat","Zen Headbutt","Rock Slide","10.148","317.5","24","2798"
"Shadow Machop","Karate Chop","Brick Break","10.148","106.5","18.26","1278"
"Turtonator","Ember","Overheat","10.148","275.4","23.16","2223"
"Bronzong","Feint Attack","Psychic","10.146","292.2","23.5","2239"
"Dragonair","Dragon Breath","Dragon Pulse","10.146","180.6","20.84","1780"
"Shadow Drapion","Poison Sting","Fell Stinger","10.146","238.1","22.33","2453"
"Celesteela","Air Slash","Bulldoze","10.145","352.5","24.63","3102"
"Florges","Tackle","Disarming Voice","10.145","366.5","24.87","3234"
"Mew","Snarl","Energy Ball","10.145","380.2","25.1","3265"
"Qwilfish","Water Gun","Ice Beam","10.145","191.7","21.15","2051"
"Shadow Monferno","Rock Smash","Flame Wheel","10.145","124.6","18.99","1574"
"Shadow Monferno","Rock Smash","Low Sweep","10.145","124.6","18.99","1574"
"Shadow Cradily","Acid","Stone Edge","10.144","263.6","22.9","2211"
"Butterfree","Bug Bite","Signal Beam","10.143","181.9","20.87","1827"
"Pelipper","Wing Attack","Hurricane","10.143","226.2","22.04","2127"
"Basculin","Tackle","Muddy Water","10.142","189.5","21.09","2090"
"Shadow Registeel","Metal Claw","Flash Cannon","10.142","360.7","24.77","2447"
"Aggron","Dragon Tail","Rock Tomb","10.141","357.9","24.72","3000"
"Mew","Cut","Stone Edge","10.141","380","25.09","3265"
"Goodra","Water Gun","Sludge Wave","10.14","401.5","25.44","3505"
"Relicanth","Water Gun","Hydro Pump","10.14","368.2","24.89","2528"
"Altaria","Dragon Breath","Sky Attack","10.139","297.9","23.6","2004"
"Electabuzz","Low Kick","Thunder","10.139","216.7","21.8","2334"
"Malamar","Psywave","Hyper Beam","10.139","272.3","23.08","2359"
"Shadow Bayleef","Tackle","Grass Knot","10.139","169.5","20.5","1454"
"Venomoth","Confusion","Return","10.139","207.9","21.58","2082"
"Watchog","Low Kick","Hyper Fang","10.138","184.2","20.93","1819"
"Lairon","Metal Claw","Rock Slide","10.136","254.7","22.69","2056"
"Mawile","Fire Fang","Play Rough","10.135","166.8","20.41","1634"
"Wailord","Water Gun","Scald","10.135","259.7","22.8","2280"
"Cyclizar","Take Down","Body Slam","10.134","206.5","21.53","2354"
"Poliwrath","Bubble","Submission","10.134","310.7","23.85","2586"
"Tapu Fini","Hidden Power (Water)","Moonblast","10.134","353.8","24.63","2857"
"Cramorant","Peck","Hydro Pump","10.133","234.1","22.22","2142"
"Shadow Forretress","Struggle Bug","Earthquake","10.133","252.7","22.64","2282"
"Shadow Whiscash","Mud Shot","Blizzard","10.133","234.9","22.24","2075"
"Shadow Electrike","Quick Attack","Discharge","10.132","73.6","16.63","965"
"Cradily","Acid","Grass Knot","10.131","315.9","23.94","2211"
"Klinklang","Metal Sound","Mirror Shot","10.131","273.7","23.1","2637"
"Shadow Marowak","Mud Slap","Rock Slide","10.131","200.2","21.36","1835"
"Walrein","Frost Breath","Earthquake","10.131","345.1","24.48","2726"
"Shadow Kangaskhan","Low Kick","Brick Break","10.13","261.5","22.83","2586"
"Tapu Fini","Water Gun","Ice Beam","10.13","353.6","24.62","2857"
"Manectric","Thunder Fang","Psychic Fangs","10.129","186.7","20.99","2340"
"Sawsbuck","Feint Attack","Megahorn","10.129","232","22.16","2416"
"Druddigon","Bite","Night Slash","10.128","258.8","22.77","2732"
"Shadow Darumaka","Tackle","Flame Charge","10.127","110.6","18.41","1442"
"Zamazenta - Crowned Shield","Ice Fang","Moonblast","10.127","432","25.88","3809"
"Bellossom","Razor Leaf","Petal Blizzard","10.126","276.8","23.15","2281"
"Cradily","Infestation","Grass Knot","10.126","315.8","23.93","2211"
"Shadow Electrike","Quick Attack","Thunderbolt","10.126","73.5","16.62","965"
"Trapinch","Struggle Bug","Scorching Sands","10.126","93.5","17.65","1274"
"Veluza","Zen Headbutt","Psychic Fangs","10.125","240.2","22.35","2436"
"Cinccino","Charm","Aqua Tail","10.123","199.7","21.33","2242"
"Shadow Gloom","Razor Leaf","Moonblast","10.123","150.3","19.87","1681"
"Swoobat","Confusion","Future Sight","10.123","171.3","20.53","1716"
"Gastly","Sucker Punch","Ominous Wind","10.122","67.4","16.26","1229"
"Beedrill","Infestation","X-Scissor","10.121","181.3","20.82","1846"
"Dragalge","Water Gun","Gunk Shot","10.12","277.5","23.16","2383"
"Sceptile","Bullet Seed","Aerial Ace","10.12","241.7","22.37","2757"
"Shadow Rhyhorn","Mud Slap","Bulldoze","10.12","170.4","20.5","1651"
"Shadow Shinx","Spark","Discharge","10.12","66.1","16.18","876"
"Ninetales","Fire Spin","Scorching Sands","10.119","276.4","23.13","2279"
"Gliscor","Fury Cutter","Aerial Ace","10.118","326.2","24.11","2692"
"Mew","Charge Beam","Focus Blast","10.118","379.2","25.03","3265"
"Shadow Metang","Zen Headbutt","Psyshock","10.118","190","21.06","1721"
"Cobalion","Zen Headbutt","Iron Head","10.117","383.7","25.11","3022"
"Mew","Shadow Claw","Bulldoze","10.117","379.1","25.03","3265"
"Shadow Kirlia","Confusion","Psychic","10.117","80.5","16.99","966"
"Shadow Loudred","Bite","Stomp","10.117","119.1","18.74","1327"
"Mew","Struggle Bug","Focus Blast","10.116","379.1","25.03","3265"
"Kangaskhan","Mud Slap","Stomp","10.115","313.4","23.86","2586"
"Pidgeot","Gust","Hurricane","10.112","249.1","22.53","2129"
"Calyrex","Confusion","Psyshock","10.111","298.1","23.56","2278"
"Magnemite","Volt Switch","Thunderbolt","10.111","103.1","18.07","1362"
"Mega Sableye","Shadow Claw","Foul Play","10.111","246.4","22.46","1942"
"Shadow Watchog","Bite","Crunch","10.111","153.1","19.94","1819"
"Anorith","Struggle Bug","Return","10.11","115.4","18.58","1529"
"Girafarig","Tackle","Trailblaze","10.11","194.2","21.17","2046"
"Shadow Alolan Ninetales","Powder Snow","Psyshock","10.109","233.5","22.16","2309"
"Swanna","Water Gun","Ice Beam","10.109","202.1","21.38","2088"
"Mesprit","Confusion","Swift","10.108","326.4","24.1","3058"
"Arcanine","Snarl","Psychic Fangs","10.107","281.8","23.23","3029"
"Beautifly","Infestation","Silver Wind","10.107","134.7","19.31","1765"
"Ludicolo","Razor Leaf","Energy Ball","10.106","274.6","23.07","2323"
"Seaking","Waterfall","Megahorn","10.106","232.9","22.14","2162"
"Alolan Sandslash","Powder Snow","Blizzard","10.105","288.6","23.36","2432"
"Blastoise","Water Gun","Return","10.105","316","23.9","2466"
"Pawmo","Spark","Thunderbolt","10.105","115.6","18.59","1299"
"Ninetales","Ember","Flamethrower","10.102","275.9","23.09","2279"
"Hawlucha","Poison Jab","X-Scissor","10.101","236.7","22.22","2410"
"Musharna","Charge Beam","Future Sight","10.101","340","24.33","2723"
"Mew","Struggle Bug","Blizzard","10.1","378.5","24.99","3265"
"Heliolisk","Volt Switch","Bulldoze","10.099","221.9","21.86","2600"
"Mew","Charge Beam","Blizzard","10.099","378.4","24.99","3265"
"Porygon2","Hidden Power (Fire)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Fighting)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Water)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Flying)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Grass)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Poison)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Electric)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Ground)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Psychic)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Rock)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Ice)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Bug)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Dragon)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Ghost)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Dark)","Solar Beam","10.098","291.1","23.4","2711"
"Porygon2","Hidden Power (Steel)","Solar Beam","10.098","291.1","23.4","2711"
"Shadow Mawile","Ice Fang","Iron Head","10.096","138.4","19.43","1634"
"Weezing","Acid","Thunderbolt","10.095","264.4","22.84","2293"
"Serperior","Iron Tail","Grass Knot","10.094","300.7","23.58","2277"
"Hisuian Avalugg","Tackle","Icy Wind","10.093","409.4","25.47","3457"
"Lapras","Ice Shard","Ice Beam","10.093","386.6","25.11","2641"
"Shadow Blastoise","Bite","Flash Cannon","10.093","263","22.8","2466"
"Shadow Persian","Feint Attack","Foul Play","10.093","156.9","20.04","1689"
"Espartha","Peck","Psybeam","10.092","229.7","22.04","2477"
"Machoke","Low Kick","Submission","10.091","201","21.32","2031"
"Dudunsparce","Bite","Drill Run","10.09","327","24.07","2739"
"Primeape","Low Kick","Night Slash","10.09","190.7","21.04","2288"
"Shadow Wailmer","Water Gun","Scald","10.09","141.4","19.52","1468"
"Sylveon","Quick Attack","Draining Kiss","10.089","355.8","24.59","3069"
"Feraligatr","Ice Fang","Ice Beam","10.088","302.7","23.61","2857"
"Galarian Rapidash","Low Kick","Body Slam","10.088","220.6","21.81","2461"
"Shadow Luxio","Bite","Crunch","10.088","109.1","18.29","1486"
"Barbaracle","Mud Slap","Skull Bash","10.085","294.1","23.44","2675"
"Meganium","Razor Leaf","Petal Blizzard","10.085","311.3","23.77","2410"
"Shadow Prinplup","Metal Claw","Bubble Beam","10.084","159","20.09","1701"
"Electrode","Spark","Return","10.081","223.6","21.88","2099"
"Turtonator","Fire Spin","Dragon Pulse","10.081","273.5","23.01","2223"
"Nuzleaf","Feint Attack","Leaf Blade","10.08","121.7","18.79","1227"
"Quaxwell","Water Gun","Liquidation","10.079","180.5","20.73","1775"
"Shadow Whiscash","Water Gun","Water Pulse","10.079","233.7","22.12","2075"
"Armaldo","Fury Cutter","Water Pulse","10.078","259.1","22.69","2848"
"Shadow Alolan Raticate","Bite","Crunch","10.078","193","21.08","1705"
"Shadow Blitzle","Quick Attack","Discharge","10.078","65.8","16.11","882"
"Shadow Sandslash","Sand Attack","Rock Tomb","10.078","217","21.71","2374"
